venue,year,papers,raw_outliers,final_outliers,topics_excluding_outlier,min_topic_size,model_name,algorithm,n_neighbors,min_similarity,resolution,graph_nodes,graph_edges,raw_communities,merge_methods,raw_outlier_rate,final_outlier_rate
ICML,2021,1183,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1183,17186,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain'}",0.0,0.0
IJCAI,2021,722,0,0,7,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,722,10123,7,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain'}",0.0,0.0
KDD,2021,239,0,0,5,19,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,239,3489,6,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'merged_small_to_0'}",0.0,0.0
NAACL,2021,477,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,477,6787,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain'}",0.0,0.0
NeurIPS,2021,2334,0,0,12,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2334,34084,12,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain'}",0.0,0.0
SIGIR,2021,151,0,0,5,12,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,151,2107,5,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain'}",0.0,0.0
WWW,2021,355,0,0,5,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,355,5304,5,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain'}",0.0,0.0
AAAI,2022,1315,0,0,10,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1315,18766,10,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain'}",0.0,0.0
ACL,2022,700,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,700,10198,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
ACMMM,2022,691,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,691,9738,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
CVPR,2022,2074,0,0,12,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2074,29675,12,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain'}",0.0,0.0
ECCV,2022,1645,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1645,23598,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain'}",0.0,0.0
EMNLP,2022,828,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,828,11991,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
ICLR,2022,1094,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1094,15624,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain'}",0.0,0.0
ICML,2022,1233,0,0,11,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1233,17820,11,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain'}",0.0,0.0
IJCAI,2022,862,0,0,7,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,862,12164,7,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain'}",0.0,0.0
KDD,2022,253,0,0,6,21,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,253,3584,6,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain'}",0.0,0.0
NAACL,2022,442,0,0,7,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,442,6394,7,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain'}",0.0,0.0
NeurIPS,2022,2671,0,0,13,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2671,38802,13,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain', '12': 'louvain'}",0.0,0.0
SIGIR,2022,161,0,0,3,13,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,161,2319,3,"{'0': 'louvain', '1': 'louvain', '2': 'louvain'}",0.0,0.0
WWW,2022,364,0,0,5,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,364,5366,6,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'merged_small_to_2'}",0.0,0.0
AAAI,2023,1572,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1572,22267,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain'}",0.0,0.0
ACL,2023,1075,0,0,10,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1075,15653,10,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain'}",0.0,0.0
ACMMM,2023,902,0,0,12,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,902,12495,12,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain'}",0.0,0.0
CVPR,2023,2353,0,0,11,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2353,33879,11,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain'}",0.0,0.0
EMNLP,2023,1047,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1047,15689,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
ICCV,2023,2156,0,0,12,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2156,30810,12,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain'}",0.0,0.0
ICLR,2023,1573,0,0,10,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1573,22413,10,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain'}",0.0,0.0
ICML,2023,1828,0,0,12,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1828,26420,12,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain'}",0.0,0.0
IJCAI,2023,851,0,0,7,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,851,11869,7,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain'}",0.0,0.0
KDD,2023,313,0,0,5,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,313,4602,6,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'merged_small_to_2'}",0.0,0.0
NeurIPS,2023,3218,0,0,14,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,3218,46717,14,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain', '12': 'louvain', '13': 'louvain'}",0.0,0.0
SIGIR,2023,165,0,0,4,13,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,165,2398,4,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain'}",0.0,0.0
WWW,2023,371,0,0,6,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,371,5302,6,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain'}",0.0,0.0
AAAI,2024,2331,0,0,12,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2331,32598,12,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain'}",0.0,0.0
ACL,2024,940,0,0,11,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,940,14455,11,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain'}",0.0,0.0
ACMMM,2024,1149,0,0,10,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1149,16417,10,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain'}",0.0,0.0
CVPR,2024,2716,0,0,10,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2716,39991,10,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain'}",0.0,0.0
ECCV,2024,2387,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2387,35073,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
EMNLP,2024,1268,0,0,11,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1268,19567,11,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain'}",0.0,0.0
ICLR,2024,2260,0,0,10,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2260,32423,10,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain'}",0.0,0.0
ICML,2024,2610,0,0,11,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2610,37982,12,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'merged_small_to_0'}",0.0,0.0
IJCAI,2024,1048,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1048,14720,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
KDD,2024,411,0,0,6,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,411,5923,7,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'merged_small_to_1'}",0.0,0.0
NAACL,2024,562,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,562,8536,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain'}",0.0,0.0
NeurIPS,2024,4034,0,0,14,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,4034,59517,14,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain', '12': 'louvain', '13': 'louvain'}",0.0,0.0
SIGIR,2024,214,0,0,4,17,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,214,3136,5,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'merged_small_to_0'}",0.0,0.0
WWW,2024,404,0,0,7,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,404,5715,7,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain'}",0.0,0.0
AAAI,2025,3028,0,0,13,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,3028,42625,13,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain', '12': 'louvain'}",0.0,0.0
ACL,2025,1699,0,0,12,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1699,25708,12,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain'}",0.0,0.0
ACMMM,2025,1249,0,0,10,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1249,18221,10,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain'}",0.0,0.0
CVPR,2025,2871,0,0,12,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2871,42432,12,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain'}",0.0,0.0
EMNLP,2025,1809,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1809,27879,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
ICCV,2025,2701,0,0,11,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,2701,39923,11,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain'}",0.0,0.0
ICLR,2025,3703,0,0,14,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,3703,54131,14,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain', '12': 'louvain', '13': 'louvain'}",0.0,0.0
ICML,2025,3330,0,0,13,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,3330,48446,13,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain', '12': 'louvain'}",0.0,0.0
IJCAI,2025,1280,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,1280,18016,10,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'merged_small_to_3'}",0.0,0.0
KDD,2025,552,0,0,9,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,552,7889,9,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain'}",0.0,0.0
NAACL,2025,718,0,0,8,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,718,10996,8,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain'}",0.0,0.0
NeurIPS,2025,5286,0,0,15,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,5286,77487,15,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain', '12': 'louvain', '13': 'louvain', '14': 'louvain'}",0.0,0.0
SIGIR,2025,239,0,0,4,19,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,239,3591,4,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain'}",0.0,0.0
WWW,2025,154,0,0,5,12,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,154,2071,6,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'merged_small_to_1'}",0.0,0.0
AAAI,2026,4149,0,0,14,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,4149,59851,14,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain', '12': 'louvain', '13': 'louvain'}",0.0,0.0
ICLR,2026,5352,0,0,13,25,models/bge-base-en-v1.5,knn_louvain,20,0.25,1.0,5352,79533,13,"{'0': 'louvain', '1': 'louvain', '2': 'louvain', '3': 'louvain', '4': 'louvain', '5': 'louvain', '6': 'louvain', '7': 'louvain', '8': 'louvain', '9': 'louvain', '10': 'louvain', '11': 'louvain', '12': 'louvain'}",0.0,0.0
