venue,year,topic,venue_year_topic_id,count,venue_year_total,share,topic_keywords,parent_category,topic_label_cn,topic_label_en,specific_label_cn,specific_parent_category,specific_label_en,representative_titles,title_terms,naming_evidence
ACL,2020,2,ACL_2020_T002,99,778,0.1272493573264781,"nlp, bias, social, language, biases, explanations, text, natural, natural language, work",Other,其他主题：nlp / bias / social,nlp / bias / social,大模型社会安全：偏见、虚假信息与检测,Trustworthy LLM,bias/misinformation/detection,Not All Claims are Created Equal: Choosing the Right Statistical Approach to Assess Hypotheses || Social Bias Frames: Reasoning about Social and Power Implications of Language || Demographics Should Not Be the Reason of Toxicity: Mitigating Discrimination in Text Classifications with Instance Weighting || Language (Technology) is Power: A Critical Survey of “Bias” in NLP || Reverse Engineering Configurations of Neural Text Generation Models,not / social / bias / power / language / text / all / claims,"keywords=nlp, bias, social, language, biases, explanations, text, natural, natural language, work; title_terms=not / social / bias / power / language / text / all / claims"
ACL,2020,3,ACL_2020_T003,90,778,0.1156812339331619,"entity, ner, knowledge, extraction, entities, named, graph, information, named entity recognition, entity recognition",Graph Learning,图学习与图神经网络,entity / ner / knowledge,知识图谱：实体关系、推理与补全,Knowledge Graph,knowledge graph reasoning/completion,Multi-Domain Named Entity Recognition with Genre-Aware and Agnostic Inference || Sources of Transfer in Multilingual Named Entity Recognition || Named Entity Recognition as Dependency Parsing || Named Entity Recognition without Labelled Data: A Weak Supervision Approach || A Unified MRC Framework for Named Entity Recognition,named / entity / recognition / multi / domain / genre / aware / agnostic,"keywords=entity, ner, knowledge, extraction, entities, named, graph, information, named entity recognition, entity recognition; title_terms=named / entity / recognition / multi / domain / genre / aware / agnostic"
ACL,2020,4,ACL_2020_T004,81,778,0.1041131105398457,"text, generation, classification, word, language, document, text classification, information, topic, text generation",Other,其他主题：text / generation / classification,text / generation / classification,生成模型：扩散模型、采样与内容生成（搜索排序）,Generative AI,diffusion/sampling/content generation / 搜索排序,"Enabling Language Models to Fill in the Blanks || Efficient Strategies for Hierarchical Text Classification: External Knowledge and Auxiliary Tasks || Improving Disentangled Text Representation Learning with Information-Theoretic Guidance || Two Birds, One Stone: A Simple, Unified Model for Text Generation from Structured and Unstructured Data || Discrete Latent Variable Representations for Low-Resource Text Classification",text / classification / enabling / language / fill / blanks / strategies / hierarchical,"keywords=text, generation, classification, word, language, document, text classification, information, topic, text generation; title_terms=text / classification / enabling / language / fill / blanks / strategies / hierarchical"
ACL,2020,5,ACL_2020_T005,72,778,0.0925449871465295,"dialogue, dialog, response, generation, conversations, training, slot, responses, evaluation, conversation",NLP,对话系统,dialogue / dialog / response,生成模型：扩散模型、采样与内容生成（Agent规划）,Generative AI,diffusion/sampling/content generation / Agent规划,PLATO : Pre-trained Dialogue Generation Model with Discrete Latent Variable || Multi-Domain Dialogue Acts and Response Co-Generation || Large Scale Multi-Actor Generative Dialog Modeling || Learning to Customize Model Structures for Few-shot Dialogue Generation Tasks || The Dialogue Dodecathlon: Open-Domain Knowledge and Image Grounded Conversational Agents,dialogue / generation / multi / domain / plato / pre / trained / discrete,"keywords=dialogue, dialog, response, generation, conversations, training, slot, responses, evaluation, conversation; title_terms=dialogue / generation / multi / domain / plato / pre / trained / discrete"
ACL,2020,6,ACL_2020_T006,53,778,0.0681233933161953,"sentiment, aspect, emotion, visual, analysis, opinion, graph, image, sentiment analysis, extraction",Graph Learning,图学习与图神经网络,sentiment / aspect / emotion,语音音频：ASR、说话人与音频理解,Speech / Audio,ASR/speaker/audio understanding,"Embarrassingly Simple Unsupervised Aspect Extraction || Generalizing Natural Language Analysis through Span-relation Representations || Cross-modal Coherence Modeling for Caption Generation || Fatality Killed the Cat or: B abel P ic, a Multimodal Dataset for Non-Concrete Concepts || Relation-Aware Collaborative Learning for Unified Aspect-Based Sentiment Analysis",aspect / analysis / relation / embarrassingly / simple / unsupervised / extraction / generalizing,"keywords=sentiment, aspect, emotion, visual, analysis, opinion, graph, image, sentiment analysis, extraction; title_terms=aspect / analysis / relation / embarrassingly / simple / unsupervised / extraction / generalizing"
ACL,2020,7,ACL_2020_T007,51,778,0.0655526992287917,"question, questions, reading, answering, answer, question answering, comprehension, reading comprehension, answers, machine reading",Other,其他主题：question / questions / reading,question / questions / reading,多语言NLP：机器翻译、跨语言与低资源（搜索排序）,NLP,machine translation/cross-lingual/low-resource / 搜索排序,Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering || Harvesting and Refining Question-Answer Pairs for Unsupervised QA || Low-Resource Generation of Multi-hop Reasoning Questions || Document Modeling with Graph Attention Networks for Multi-grained Machine Reading Comprehension || STARC : Structured Annotations for Reading Comprehension,question / generation / unsupervised / multi / reading / comprehension / template / retrieved,"keywords=question, questions, reading, answering, answer, question answering, comprehension, reading comprehension, answers, machine reading; title_terms=question / generation / unsupervised / multi / reading / comprehension / template / retrieved"
ACL,2020,8,ACL_2020_T008,50,778,0.0642673521850899,"parsing, semantic, discourse, semantic parsing, dependency, graph, language, state-of-the-art, parser, natural",Graph Learning,图学习与图神经网络,parsing / semantic / discourse,开放词汇视觉：开放词汇检测、分割与CLIP语义,Computer Vision,open-vocabulary detection/segmentation,Universal Decompositional Semantic Parsing || Unsupervised Dual Paraphrasing for Two-stage Semantic Parsing || Transition-based Semantic Dependency Parsing with Pointer Networks || DRTS Parsing with Structure-Aware Encoding and Decoding || Exploiting the Syntax-Model Consistency for Neural Relation Extraction,parsing / semantic / universal / decompositional / unsupervised / dual / paraphrasing / two,"keywords=parsing, semantic, discourse, semantic parsing, dependency, graph, language, state-of-the-art, parser, natural; title_terms=parsing / semantic / universal / decompositional / unsupervised / dual / paraphrasing / two"
ACL,2020,9,ACL_2020_T009,42,778,0.0539845758354755,"summarization, summary, summaries, abstractive, extractive, news, style, sentence, evaluation, text",NLP,文本摘要,summarization / summary / summaries,文本生成：摘要、事实性与可控生成,Text Generation,summarization/factuality/controllable generation,The Summary Loop: Learning to Write Abstractive Summaries Without Examples || Improving Truthfulness of Headline Generation || On Faithfulness and Factuality in Abstractive Summarization || Exploring Content Selection in Summarization of Novel Chapters || SUPERT : Towards New Frontiers in Unsupervised Evaluation Metrics for Multi-Document Summarization,summarization / abstractive / summary / loop / write / summaries / without / examples,"keywords=summarization, summary, summaries, abstractive, extractive, news, style, sentence, evaluation, text; title_terms=summarization / abstractive / summary / loop / write / summaries / without / examples"
ACMMM,2020,0,ACMMM_2020_T000,87,473,0.1839323467230444,"video, image, images, quality, streaming, information, features, different, state-of-the-art, temporal",Other,其他主题：video / image / images,video / image / images,底层视觉：超分、去噪、增强与图像复原,Computer Vision,image restoration/super-resolution/enhancement,RT-VENet: A Convolutional Network for Real-time Video Enhancement || ALANET: Adaptive Latent Attention Network for Joint Video Deblurring and Interpolation || MRS-Net: Multi-Scale Recurrent Scalable Network for Face Quality Enhancement of Compressed Videos || Memory Recursive Network for Single Image Super-Resolution || When Bitstream Prior Meets Deep Prior: Compressed Video Super-resolution with Learning from Decoding,video / enhancement / compressed / super / resolution / prior / venet / convolutional,"keywords=video, image, images, quality, streaming, information, features, different, state-of-the-art, temporal; title_terms=video / enhancement / compressed / super / resolution / prior / venet / convolutional"
ACMMM,2020,1,ACMMM_2020_T001,86,473,0.1818181818181818,"adversarial, music, facial, recognition, emotion, face, detection, attack, image, deep",Security / Privacy,隐私安全、攻击与鲁棒性,adversarial / music / facial,多媒体安全：Deepfake检测、伪造识别与攻防,Security / Vision,deepfake/forgery/multimedia security,Emotions Don't Lie: An Audio-Visual Deepfake Detection Method using Affective Cues || Talking Face Generation with Expression-Tailored Generative Adversarial Network || DFEW: A Large-Scale Database for Recognizing Dynamic Facial Expressions in the Wild || Sharp Multiple Instance Learning for DeepFake Video Detection || MEmoR: A Dataset for Multimodal Emotion Reasoning in Videos,deepfake / detection / emotions / don / lie / audio / visual / method,"keywords=adversarial, music, facial, recognition, emotion, face, detection, attack, image, deep; title_terms=deepfake / detection / emotions / don / lie / audio / visual / method"
ACMMM,2020,2,ACMMM_2020_T002,83,473,0.175475687103594,"object, detection, features, person, re-identification, tracking, feature, vehicle, extensive, person re-identification",Other,其他主题：object / detection / features,object / detection / features,视觉感知：目标检测、识别与视觉表征,Computer Vision,detection/recognition/visual representation,Discriminative Spatial Feature Learning for Person Re-Identification || CODAN: Counting-driven Attention Network for Vehicle Detection in Congested Scenes || Self-Mimic Learning for Small-scale Pedestrian Detection || Beyond the Parts: Learning Multi-view Cross-part Correlation for Vehicle Re-identification || Learning Global Structure Consistency for Robust Object Tracking,identification / vehicle / detection / discriminative / spatial / feature / person / codan,"keywords=object, detection, features, person, re-identification, tracking, feature, vehicle, extensive, person re-identification; title_terms=identification / vehicle / detection / discriminative / spatial / feature / person / codan"
ACMMM,2020,3,ACMMM_2020_T003,60,473,0.1268498942917547,"domain, semantic, image, visual, feature, novel, graph, classes, images, features",Graph Learning,图学习与图神经网络,domain / semantic / image,迁移泛化：域适应、OOD泛化与鲁棒表征,Robust / Transfer Learning,domain adaptation/OOD generalization,Generalized Zero-shot Learning with Multi-source Semantic Embeddings for Scene Recognition || Learning Modality-Invariant Latent Representations for Generalized Zero-shot Learning || Memory-Augmented Relation Network for Few-Shot Learning || Category-specific Semantic Coherency Learning for Fine-grained Image Recognition || Meta Parsing Networks: Towards Generalized Few-shot Scene Parsing with Adaptive Metric Learning,shot / generalized / zero / semantic / scene / recognition / few / parsing,"keywords=domain, semantic, image, visual, feature, novel, graph, classes, images, features; title_terms=shot / generalized / zero / semantic / scene / recognition / few / parsing"
ACMMM,2020,4,ACMMM_2020_T004,58,473,0.1226215644820296,"video, temporal, videos, information, visual, action, attention, localization, different, features",Other,其他主题：video / temporal / videos,video / temporal / videos,视频理解：动作识别、长视频与时序建模,Video Understanding,action/long-video/temporal modeling,Cross-modal Non-linear Guided Attention and Temporal Coherence in Multi-modal Deep Video Models || Activity-driven Weakly-Supervised Spatio-Temporal Grounding from Untrimmed Videos || Towards More Explainability: Concept Knowledge Mining Network for Event Recognition || Relational Graph Learning for Grounded Video Description Generation || Deep Concept-wise Temporal Convolutional Networks for Action Localization,temporal / modal / video / concept / cross / non / linear / guided,"keywords=video, temporal, videos, information, visual, action, attention, localization, different, features; title_terms=temporal / modal / video / concept / cross / non / linear / guided"
ACMMM,2020,5,ACMMM_2020_T005,58,473,0.1226215644820296,"image, visual, text, information, attention, captioning, graph, language, knowledge, multimodal",Multimodal AI,多模态理解与视觉语言模型,image / visual / text,高效大模型：推理加速、压缩与资源优化,Efficient LLMs,inference acceleration/compression,Bridging the Gap between Vision and Language Domains for Improved Image Captioning || Cascade Reasoning Network for Text-based Visual Question Answering || Hierarchical Scene Graph Encoder-Decoder for Image Paragraph Captioning || Joint Attribute Manipulation and Modality Alignment Learning for Composing Text and Image to Image Retrieval || Multimodal Representation with Embedded Visual Guiding Objects for Named Entity Recognition in Social Media Posts,image / captioning / text / visual / bridging / gap / between / vision,"keywords=image, visual, text, information, attention, captioning, graph, language, knowledge, multimodal; title_terms=image / captioning / text / visual / bridging / gap / between / vision"
ACMMM,2020,6,ACMMM_2020_T006,41,473,0.0866807610993657,"pose, human, face, style, image, images, recognition, features, pose estimation, hand",Other,其他主题：pose / human / face,pose / human / face,三维视觉：点云、深度估计与相机姿态,3D Vision,point cloud/depth/pose,Rotationally-Consistent Novel View Synthesis for Humans || DeepFacePencil: Creating Face Images from Freehand Sketches || Neural3D: Light-weight Neural Portrait Scanning via Context-aware Correspondence Learning || Mix Dimension in Poincaré Geometry for 3D Skeleton-based Action Recognition || Arbitrary Style Transfer via Multi-Adaptation Network,rotationally / consistent / novel / view / synthesis / humans / deepfacepencil / creating,"keywords=pose, human, face, style, image, images, recognition, features, pose estimation, hand; title_terms=rotationally / consistent / novel / view / synthesis / humans / deepfacepencil / creating"
CVPR,2020,0,CVPR_2020_T000,234,1466,0.1596180081855388,"image, images, depth, deep, estimation, problem, state-of-the-art, camera, flow, video",Other,其他主题：image / images / depth,image / images / depth,三维视觉：点云、深度估计与相机姿态（视频时序）,3D Vision,point cloud/depth/pose / 视频时序,Deep Shutter Unrolling Network || CycleISP: Real Image Restoration via Improved Data Synthesis || Learning Fused Pixel and Feature-Based View Reconstructions for Light Fields || Deep 3D Capture: Geometry and Reflectance From Sparse Multi-View Images || Through the Looking Glass: Neural 3D Reconstruction of Transparent Shapes,view / shutter / unrolling / cycleisp / real / image / restoration / improved,"keywords=image, images, depth, deep, estimation, problem, state-of-the-art, camera, flow, video; title_terms=view / shutter / unrolling / cycleisp / real / image / restoration / improved"
CVPR,2020,1,CVPR_2020_T001,198,1466,0.1350613915416098,"image, person, visual, features, recognition, feature, text, training, graph, information",Graph Learning,图学习与图神经网络,image / person / visual,视觉感知：目标检测、识别与视觉表征（推理效率）,Computer Vision,detection/recognition/visual representation / 推理效率,Improved Few-Shot Visual Classification || Exploring Self-Attention for Image Recognition || ClusterFit: Improving Generalization of Visual Representations || Circle Loss: A Unified Perspective of Pair Similarity Optimization || Fine-Grained Generalized Zero-Shot Learning via Dense Attribute-Based Attention,shot / visual / attention / improved / few / classification / exploring / self,"keywords=image, person, visual, features, recognition, feature, text, training, graph, information; title_terms=shot / visual / attention / improved / few / classification / exploring / self"
CVPR,2020,2,CVPR_2020_T002,171,1466,0.116643929058663,"segmentation, object, detection, instance, semantic, image, feature, object detection, semantic segmentation, saliency",Computer Vision,目标检测与图像分割,segmentation / object / detection,视觉感知：语义/实例/全景分割,Computer Vision,segmentation,"Look-Into-Object: Self-Supervised Structure Modeling for Object Recognition || Unifying Training and Inference for Panoptic Segmentation || Instance-Aware, Context-Focused, and Memory-Efficient Weakly Supervised Object Detection || Steering Self-Supervised Feature Learning Beyond Local Pixel Statistics || PolarMask: Single Shot Instance Segmentation With Polar Representation",object / supervised / self / segmentation / instance / look / into / structure,"keywords=segmentation, object, detection, instance, semantic, image, feature, object detection, semantic segmentation, saliency; title_terms=object / supervised / self / segmentation / instance / look / into / structure"
CVPR,2020,3,CVPR_2020_T003,156,1466,0.1064120054570259,"point, shape, object, cloud, point cloud, clouds, point clouds, detection, scene, novel",Embodied / Autonomous,点云、自动驾驶与轨迹预测,point / shape / object,三维视觉：点云、深度估计与相机姿态（推理问答）,3D Vision,point cloud/depth/pose / 推理问答,Global-Local Bidirectional Reasoning for Unsupervised Representation Learning of 3D Point Clouds || Learning Unsupervised Hierarchical Part Decomposition of 3D Objects From a Single RGB Image || FPConv: Learning Local Flattening for Point Convolution || DOPS: Learning to Detect 3D Objects and Predict Their 3D Shapes || PV-RCNN: Point-Voxel Feature Set Abstraction for 3D Object Detection,point / local / unsupervised / objects / global / bidirectional / reasoning / representation,"keywords=point, shape, object, cloud, point cloud, clouds, point clouds, detection, scene, novel; title_terms=point / local / unsupervised / objects / global / bidirectional / reasoning / representation"
CVPR,2020,4,CVPR_2020_T004,135,1466,0.0920873124147339,"image, images, face, generative, generation, synthesis, latent, gan, adversarial, facial",Security / Privacy,隐私安全、攻击与鲁棒性,image / images / face,人体与头像生成：姿态、表情与数字人合成,Human-Centric Generation,human/avatar/facial generation,Transformation GAN for Unsupervised Image Synthesis and Representation Learning || Editing in Style: Uncovering the Local Semantics of GANs || Towards Unsupervised Learning of Generative Models for 3D Controllable Image Synthesis || Interpreting the Latent Space of GANs for Semantic Face Editing || Breaking the Cycle - Colleagues Are All You Need,unsupervised / image / synthesis / editing / gans / transformation / gan / representation,"keywords=image, images, face, generative, generation, synthesis, latent, gan, adversarial, facial; title_terms=unsupervised / image / synthesis / editing / gans / transformation / gan / representation"
CVPR,2020,5,CVPR_2020_T005,132,1466,0.0900409276944065,"search, architecture, training, accuracy, architectures, nas, deep, compression, knowledge, convolutional",Other,其他主题：search / architecture / training,search / architecture / training,自动机器学习：神经架构搜索与超参数优化,AutoML,neural architecture search/hyperparameter optimization,Towards Efficient Model Compression via Learned Global Ranking || DSNAS: Direct Neural Architecture Search Without Parameter Retraining || Binarizing MobileNet via Evolution-Based Searching || Block-Wisely Supervised Neural Architecture Search With Knowledge Distillation || Can Weight Sharing Outperform Random Architecture Search? An Investigation With TuNAS,architecture / search / compression / learned / global / ranking / dsnas / direct,"keywords=search, architecture, training, accuracy, architectures, nas, deep, compression, knowledge, convolutional; title_terms=architecture / search / compression / learned / global / ranking / dsnas / direct"
CVPR,2020,6,CVPR_2020_T006,110,1466,0.0750341064120054,"video, action, temporal, recognition, videos, action recognition, actions, visual, graph, information",Graph Learning,图学习与图神经网络,video / action / temporal,视频理解：动作识别、长视频与时序建模,Video Understanding,action/long-video/temporal modeling,Unsupervised Learning From Video With Deep Neural Embeddings || Intra- and Inter-Action Understanding via Temporal Action Parsing || METAL: Minimum Effort Temporal Activity Localization in Untrimmed Videos || ActionBytes: Learning From Trimmed Videos to Localize Actions || Learning Temporal Co-Attention Models for Unsupervised Video Action Localization,action / temporal / unsupervised / video / localization / videos / embeddings / intra,"keywords=video, action, temporal, recognition, videos, action recognition, actions, visual, graph, information; title_terms=action / temporal / unsupervised / video / localization / videos / embeddings / intra"
CVPR,2020,7,CVPR_2020_T007,107,1466,0.072987721691678,"pose, human, estimation, pose estimation, object, human pose, poses, body, images, hand",Other,其他主题：pose / human / estimation,pose / human / estimation,三维视觉：点云、深度估计与相机姿态（检测识别）,3D Vision,point cloud/depth/pose / 检测识别,Self-Supervised 3D Human Pose Estimation via Part Guided Novel Image Synthesis || Coherent Reconstruction of Multiple Humans From a Single Image || MEBOW: Monocular Estimation of Body Orientation in the Wild || Single-Stage 6D Object Pose Estimation || Lightweight Multi-View 3D Pose Estimation Through Camera-Disentangled Representation,estimation / pose / image / single / self / supervised / human / part,"keywords=pose, human, estimation, pose estimation, object, human pose, poses, body, images, hand; title_terms=estimation / pose / image / single / self / supervised / human / part"
CVPR,2020,8,CVPR_2020_T008,86,1466,0.058663028649386,"tracking, visual, prediction, object, driving, future, trajectory, motion, autonomous, state-of-the-art",Embodied / Autonomous,点云、自动驾驶与轨迹预测,tracking / visual / prediction,视觉感知：目标检测、识别与视觉表征（视觉语言）,Computer Vision,detection/recognition/visual representation / 视觉语言,PnPNet: End-to-End Perception and Prediction With Tracking in the Loop || RetinaTrack: Online Single Stage Joint Detection and Tracking || MotionNet: Joint Perception and Motion Prediction for Autonomous Driving Based on Bird's Eye View Maps || Just Go With the Flow: Self-Supervised Scene Flow Estimation || Multimodal Future Localization and Emergence Prediction for Objects in Egocentric View With a Reachability Prior,prediction / end / perception / tracking / joint / view / flow / pnpnet,"keywords=tracking, visual, prediction, object, driving, future, trajectory, motion, autonomous, state-of-the-art; title_terms=prediction / end / perception / tracking / joint / view / flow / pnpnet"
CVPR,2020,9,CVPR_2020_T009,85,1466,0.0579809004092769,"adversarial, attacks, attack, robustness, training, perturbations, examples, deep, adversarial examples, image",Security / Privacy,隐私安全、攻击与鲁棒性,adversarial / attacks / attack,可信安全：对抗攻击、后门、水印与隐私,Security / Privacy,adversarial/backdoor/watermark/privacy,One Man's Trash Is Another Man's Treasure: Resisting Adversarial Examples by Adversarial Examples || Attack to Explain Deep Representation || A Self-supervised Approach for Adversarial Robustness || Understanding Adversarial Examples From the Mutual Influence of Images and Perturbations || Benchmarking Adversarial Robustness on Image Classification,adversarial / examples / man / robustness / one / trash / another / treasure,"keywords=adversarial, attacks, attack, robustness, training, perturbations, examples, deep, adversarial examples, image; title_terms=adversarial / examples / man / robustness / one / trash / another / treasure"
