venue,year,rank,venue_year_topic_id,count,venue_year_total,share_pct,specific_label_cn,specific_parent_category,short_keywords,representative_titles
ACL,2020,6,ACL_2020_T005,75,778,9.64,生成模型：扩散模型、采样与内容生成,Generative AI,"dialogue, dialog, response, generation, conversations",PLATO : Pre-trained Dialogue Generation Model with Discrete Latent Variable || Multi-Domain Dialogue Acts and Response Co-Generation || Large Scale Multi-Actor Generative Dialog Modeling || The Dialogue Dodecathlon: Open-Domain Knowledge and Image Grounded Conversational Agents || Learning to Customize Model Structures for Few-shot Dialogue Generation Tasks
ACL,2020,7,ACL_2020_T006,51,778,6.56,多语言NLP：机器翻译、跨语言与低资源,NLP,"question, questions, reading, answering, question answering",Template-Based Question Generation from Retrieved Sentences for Improved Unsupervised Question Answering || Low-Resource Generation of Multi-hop Reasoning Questions || Harvesting and Refining Question-Answer Pairs for Unsupervised QA || Document Modeling with Graph Attention Networks for Multi-grained Machine Reading Comprehension || STARC : Structured Annotations for Reading Comprehension
ACL,2020,8,ACL_2020_T007,46,778,5.91,开放词汇视觉：开放词汇检测、分割与CLIP语义,Computer Vision,"parsing, semantic, graph, semantic parsing, discourse",Universal Decompositional Semantic Parsing || Transition-based Semantic Dependency Parsing with Pointer Networks || DRTS Parsing with Structure-Aware Encoding and Decoding || Parsing into Variable-in-situ Logico-Semantic Graphs || Exploiting the Syntax-Model Consistency for Neural Relation Extraction
ACL,2020,9,ACL_2020_T008,44,778,5.66,可信安全：对抗攻击、后门、水印与隐私,Security / Privacy,"language, bert, adversarial, transformer, pre-trained",The Right Tool for the Job: Matching Model and Instance Complexities || C amem BERT : a Tasty F rench Language Model || Fast and Accurate Deep Bidirectional Language Representations for Unsupervised Learning || Masked Language Model Scoring || Don’t Stop Pretraining: Adapt Language Models to Domains and Tasks
ACL,2020,10,ACL_2020_T009,35,778,4.5,文本生成：摘要、事实性与可控生成,Text Generation,"summarization, summary, summaries, abstractive, extractive",The Summary Loop: Learning to Write Abstractive Summaries Without Examples || Improving Truthfulness of Headline Generation || On Faithfulness and Factuality in Abstractive Summarization || SUPERT : Towards New Frontiers in Unsupervised Evaluation Metrics for Multi-Document Summarization || Facet-Aware Evaluation for Extractive Summarization
ACL,2020,11,ACL_2020_T010,23,778,2.96,多模态大模型：视觉语言理解与跨模态推理,Multimodal LLM,"visual, image, language, video, multimodal","Cross-modal Coherence Modeling for Caption Generation || What Does BERT with Vision Look At? || Improving Image Captioning with Better Use of Caption || Fatality Killed the Cat or: B abel P ic, a Multimodal Dataset for Non-Concrete Concepts || Cross-Modality Relevance for Reasoning on Language and Vision"
ACMMM,2020,1,ACMMM_2020_T000,83,473,17.55,视觉感知：目标检测、识别与视觉表征,Computer Vision,"object, detection, features, person, re-identification",Discriminative Spatial Feature Learning for Person Re-Identification || CODAN: Counting-driven Attention Network for Vehicle Detection in Congested Scenes || Self-Mimic Learning for Small-scale Pedestrian Detection || Beyond the Parts: Learning Multi-view Cross-part Correlation for Vehicle Re-identification || Learning Global Structure Consistency for Robust Object Tracking
ACMMM,2020,2,ACMMM_2020_T001,74,473,15.64,底层视觉：超分、去噪、增强与图像复原,Computer Vision,"video, image, images, quality, streaming",RT-VENet: A Convolutional Network for Real-time Video Enhancement || MRS-Net: Multi-Scale Recurrent Scalable Network for Face Quality Enhancement of Compressed Videos || ALANET: Adaptive Latent Attention Network for Joint Video Deblurring and Interpolation || When Bitstream Prior Meets Deep Prior: Compressed Video Super-resolution with Learning from Decoding || Memory Recursive Network for Single Image Super-Resolution
ACMMM,2020,3,ACMMM_2020_T002,62,473,13.11,迁移泛化：域适应、OOD泛化与鲁棒表征,Robust / Transfer Learning,"domain, semantic, image, images, feature",Generalized Zero-shot Learning with Multi-source Semantic Embeddings for Scene Recognition || Learning Modality-Invariant Latent Representations for Generalized Zero-shot Learning || Memory-Augmented Relation Network for Few-Shot Learning || Category-specific Semantic Coherency Learning for Fine-grained Image Recognition || Meta Parsing Networks: Towards Generalized Few-shot Scene Parsing with Adaptive Metric Learning
ACMMM,2020,4,ACMMM_2020_T003,59,473,12.47,高效大模型：推理加速、压缩与资源优化,Efficient LLMs,"image, visual, text, attention, information",Bridging the Gap between Vision and Language Domains for Improved Image Captioning || Cascade Reasoning Network for Text-based Visual Question Answering || Hierarchical Scene Graph Encoder-Decoder for Image Paragraph Captioning || Joint Attribute Manipulation and Modality Alignment Learning for Composing Text and Image to Image Retrieval || Multimodal Representation with Embedded Visual Guiding Objects for Named Entity Recognition in Social Media Posts
ACMMM,2020,5,ACMMM_2020_T004,47,473,9.94,视频语言理解：视频检索、时刻定位与时序推理,Video Understanding,"video, temporal, videos, action, information",Activity-driven Weakly-Supervised Spatio-Temporal Grounding from Untrimmed Videos || Cross-modal Non-linear Guided Attention and Temporal Coherence in Multi-modal Deep Video Models || Relational Graph Learning for Grounded Video Description Generation || Deep Concept-wise Temporal Convolutional Networks for Action Localization || Towards More Explainability: Concept Knowledge Mining Network for Event Recognition
ACMMM,2020,6,ACMMM_2020_T005,44,473,9.3,多模态音视频生成：语音、音乐与情感生成,Multimodal Generation,"facial, emotion, recognition, expression, face",DFEW: A Large-Scale Database for Recognizing Dynamic Facial Expressions in the Wild || Semi-supervised Multi-modal Emotion Recognition with Cross-Modal Distribution Matching || Emotions Don't Lie: An Audio-Visual Deepfake Detection Method using Affective Cues || MEmoR: A Dataset for Multimodal Emotion Reasoning in Videos || Adversarial Graph Representation Adaptation for Cross-Domain Facial Expression Recognition
ACMMM,2020,7,ACMMM_2020_T006,43,473,9.09,三维视觉：点云、深度估计与相机姿态,3D Vision,"pose, face, human, style, image",DeepFacePencil: Creating Face Images from Freehand Sketches || Rotationally-Consistent Novel View Synthesis for Humans || Neural3D: Light-weight Neural Portrait Scanning via Context-aware Correspondence Learning || Mix Dimension in Poincaré Geometry for 3D Skeleton-based Action Recognition || Mesh Guided One-shot Face Reenactment Using Graph Convolutional Networks
ACMMM,2020,8,ACMMM_2020_T007,25,473,5.29,多媒体安全：Deepfake检测、伪造识别与攻防,Security / Vision,"adversarial, attack, attacks, adversarial examples, deepfake",Amora: Black-box Adversarial Morphing Attack || DIPDefend: Deep Image Prior Driven Defense against Adversarial Examples || Sharp Multiple Instance Learning for DeepFake Video Detection || Defending Adversarial Examples via DNN Bottleneck Reinforcement || Adversarial Image Attacks Using Multi-Sample and Most-Likely Ensemble Methods
ACMMM,2020,9,ACMMM_2020_T008,20,473,4.23,语音音频：ASR、说话人与音频理解,Speech / Audio,"music, synthesis, dance, space, musical",Scene-Aware Background Music Synthesis || Crossing You in Style: Cross-modal Style Transfer from Music to Visual Arts || Temporally Guided Music-to-Body-Movement Generation || PopMAG: Pop Music Accompaniment Generation || Pop Music Transformer: Beat-based Modeling and Generation of Expressive Pop Piano Compositions
ACMMM,2020,10,ACMMM_2020_T009,16,473,3.38,推荐系统：排序、召回与点击率预测,Recommendation,"quality, recommendation, items, subjective, aesthetic",Learning Tuple Compatibility for Conditional Outfit Recommendation || Context-aware Attention Network for Predicting Image Aesthetic Subjectivity || Cognitive Representation Learning of Self-Media Online Article Quality || A Probabilistic Graphical Model for Analyzing the Subjective Visual Quality Assessment Data from Crowdsourcing || Object-level Attention for Aesthetic Rating Distribution Prediction
CHI,2020,1,CHI_2020_T000,131,740,17.7,HCI：VR/AR交互与沉浸式体验,HCI,"reality, virtual, virtual reality, haptic, interactive","Miniature Haptics: Experiencing Haptic Feedback through Hand-based and Embodied Avatars || Knock on Wood: Combining Redirected Touching and Physical Props for Tool-Based Interaction in Virtual Reality || Haptic-go-round: A Surrounding Platform for Encounter-type Haptics in Virtual Reality Experiences || Wireality: Enabling Complex Tangible Geometries in Virtual Reality with Worn Multi-String Haptics || Embodied Axes: Tangible, Actuated Interaction for 3D Augmented Reality Data Spaces"
CHI,2020,2,CHI_2020_T001,113,740,15.27,大模型社会安全：偏见、虚假信息与检测,Trustworthy LLM,"design, designing, understanding, social, hci","On Being Iterated: The Affective Demands of Design Participation || Crafting, Communality, and Computing: Building on Existing Strengths To Support a Vulnerable Population || Unplatformed Design: A Model for Appropriating Social Media Technologies for Coordinated Participation || Articulating Experience: Reflections from Experts Applying Micro-Phenomenology to Design Research in HCI || Place-Based Policymaking and HCI: Opportunities and Challenges for Technology Design"
CHI,2020,3,CHI_2020_T002,112,740,15.14,语音语言：ASR、语音理解与音频建模,Speech / Audio,"mobile, people, impairments, text, visual","Digital Ventriloquism: Giving Voice to Everyday Objects || Senorita: A Chorded Keyboard for Sighted, Low Vision, and Blind Mobile Users || A Design Engineering Approach for Quantitatively Exploring Context-Aware Sentence Retrieval for Nonspeaking Individuals with Motor Disabilities || What HCI Can Learn from ASMR: Becoming Enchanted with the Mundane || Bug or Feature? Covert Impairments to Human Computer Interaction"
CHI,2020,4,CHI_2020_T003,90,740,12.16,细分主题：children,Other,"children, technology, support, health, design","Integrating the Digital and the Traditional to Deliver Therapy for Depression: Lessons from a Pragmatic Study || ""Like Shock Absorbers"": Understanding the Human Infrastructures of Technology-Mediated Mental Health Support || ""Energy is a Finite Resource"": Designing Technology to Support Individuals across Fluctuating Symptoms of Depression || Investigating the Opportunities for Technologies to Enhance QoL with Stroke Survivors and their Families || Approach Matters: Linking Practitioner Approaches to Technology Design for People with Dementia"
CHI,2020,5,CHI_2020_T004,89,740,12.03,对话系统：响应生成、情感支持与任务型对话,Dialogue,"conversational, machine, agents, understanding, conversational agents","Effects of Persuasive Dialogues: Testing Bot Identities and Inquiry Strategies || Studying the Effects of Cognitive Biases in Evaluation of Conversational Agents || Investigating User Expectations on the Roles of Family-shared AI Speakers || A Literature Review of Quantitative Persona Creation || Callisto: Capturing the ""Why"" by Connecting Conversations with Computational Narratives"
CHI,2020,6,CHI_2020_T005,85,740,11.49,推荐系统：排序、召回与点击率预测,Recommendation,"privacy, social, online, users, home","Addressing Anonymous Abuses: Measuring the Effects of Technical Mechanisms on Reported User Behaviors || Amazon vs. My Brother: How Users of Shared Smart Speakers Perceive and Cope with Privacy Risks || Taking Data Out of Context to Hyper-Personalize Ads: Crowdworkers' Privacy Perceptions and Decisions to Disclose Private Information || Does Context in Privacy Communication Really Matter? - A Survey on Consumer Concerns and Preferences || Ownership, Privacy, and Control in the Wake of Cambridge Analytica: The Relationship between Attitudes and Awareness"
CHI,2020,7,CHI_2020_T006,71,740,9.59,多模态理解：视觉语言表征与跨模态对齐,Multimodal AI,"visual, visualization, design, interactive, visualizations","Augmenting Static Visualizations with PapARVis Designer || Interaction Techniques for Visual Exploration Using Embedded Word-Scale Visualizations || Techniques for Flexible Responsive Visualization Design || GUIComp: A GUI Design Assistant with Real-Time, Multi-Faceted Feedback || InChorus: Designing Consistent Multimodal Interactions for Data Visualization on Tablet Devices"
CHI,2020,8,CHI_2020_T007,49,740,6.62,HCI：VR/AR交互与沉浸式体验,HCI,"virtual, virtual reality, reality, games, player","Race Yourselves: A Longitudinal Exploration of Self-Competition Between Past, Present, and Future Performances in a VR Exergame || Breaking The Experience: Effects of Questionnaires in VR User Studies || A Palette of Deepened Emotions: Exploring Emotional Challenge in Virtual Reality Games || Self-Determination Theory in HCI Games Research: Current Uses and Open Questions || Investigating Roleplaying and Identity Transformation in a Virtual Reality Narrative Experience"
CVPR,2020,1,CVPR_2020_T000,180,1466,12.28,迁移泛化：域适应、OOD泛化与鲁棒表征,Robust / Transfer Learning,"object, detection, feature, image, classes","Improved Few-Shot Visual Classification || Look-Into-Object: Self-Supervised Structure Modeling for Object Recognition || Don't Judge an Object by Its Context: Learning to Overcome Contextual Bias || Steering Self-Supervised Feature Learning Beyond Local Pixel Statistics || Instance-Aware, Context-Focused, and Memory-Efficient Weakly Supervised Object Detection"
CVPR,2020,2,CVPR_2020_T001,166,1466,11.32,视频理解：动作识别、长视频与时序建模,Video Understanding,"action, video, recognition, visual, graph",A Local-to-Global Approach to Multi-Modal Movie Scene Segmentation || Unsupervised Learning From Video With Deep Neural Embeddings || Intra- and Inter-Action Understanding via Temporal Action Parsing || Where Does It Exist: Spatio-Temporal Video Grounding for Multi-Form Sentences || Fine-Grained Video-Text Retrieval With Hierarchical Graph Reasoning
CVPR,2020,3,CVPR_2020_T002,145,1466,9.89,三维视觉：点云、深度估计与相机姿态,3D Vision,"point, shape, cloud, point cloud, object",Global-Local Bidirectional Reasoning for Unsupervised Representation Learning of 3D Point Clouds || FPConv: Learning Local Flattening for Point Convolution || Learning Unsupervised Hierarchical Part Decomposition of 3D Objects From a Single RGB Image || DOPS: Learning to Detect 3D Objects and Predict Their 3D Shapes || PV-RCNN: Point-Voxel Feature Set Abstraction for 3D Object Detection
CVPR,2020,4,CVPR_2020_T003,138,1466,9.41,三维视觉：点云、深度估计与相机姿态,3D Vision,"pose, estimation, human, pose estimation, object","Novel Object Viewpoint Estimation Through Reconstruction Alignment || Reconstruct Locally, Localize Globally: A Model Free Method for Object Pose Estimation || Lightweight Multi-View 3D Pose Estimation Through Camera-Disentangled Representation || Self-Supervised 3D Human Pose Estimation via Part Guided Novel Image Synthesis || Single-Stage 6D Object Pose Estimation"
CVPR,2020,5,CVPR_2020_T004,133,1466,9.07,自动机器学习：神经架构搜索与超参数优化,AutoML,"search, architecture, training, accuracy, architectures",Towards Efficient Model Compression via Learned Global Ranking || DSNAS: Direct Neural Architecture Search Without Parameter Retraining || Binarizing MobileNet via Evolution-Based Searching || Block-Wisely Supervised Neural Architecture Search With Knowledge Distillation || Can Weight Sharing Outperform Random Architecture Search? An Investigation With TuNAS
CVPR,2020,6,CVPR_2020_T005,114,1466,7.78,底层视觉：超分、去噪、增强与图像复原,Computer Vision,"image, images, video, deep, super-resolution",CycleISP: Real Image Restoration via Improved Data Synthesis || Closed-Loop Matters: Dual Regression Networks for Single Image Super-Resolution || Unified Dynamic Convolutional Network for Super-Resolution With Variational Degradations || Deep Shutter Unrolling Network || Neural Blind Deconvolution Using Deep Priors
CVPR,2020,7,CVPR_2020_T006,109,1466,7.44,三维视觉：点云、深度估计与相机姿态,3D Vision,"depth, scene, stereo, image, images",Deep 3D Capture: Geometry and Reflectance From Sparse Multi-View Images || Learning Fused Pixel and Feature-Based View Reconstructions for Light Fields || Through the Looking Glass: Neural 3D Reconstruction of Transparent Shapes || Novel View Synthesis of Dynamic Scenes With Globally Coherent Depths From a Monocular Camera || Structure-Guided Ranking Loss for Single Image Depth Prediction
CVPR,2020,8,CVPR_2020_T007,107,1466,7.3,生成模型：文生图、扩散采样与图像编辑,Generative AI,"image, generative, images, generation, synthesis",Transformation GAN for Unsupervised Image Synthesis and Representation Learning || Editing in Style: Uncovering the Local Semantics of GANs || Analyzing and Improving the Image Quality of StyleGAN || Semantic Pyramid for Image Generation || Towards Unsupervised Learning of Generative Models for 3D Controllable Image Synthesis
CVPR,2020,9,CVPR_2020_T008,103,1466,7.03,视觉感知：语义/实例/全景分割,Computer Vision,"segmentation, tracking, object, instance, semantic",Learning Fast and Robust Target Models for Video Object Segmentation || Unifying Training and Inference for Panoptic Segmentation || Fast Video Object Segmentation With Temporal Aggregation Network and Dynamic Template Matching || MSeg: A Composite Dataset for Multi-Domain Semantic Segmentation || Video Panoptic Segmentation
CVPR,2020,10,CVPR_2020_T009,85,1466,5.8,可信安全：对抗攻击、后门、水印与隐私,Security / Privacy,"adversarial, attacks, attack, robustness, training",One Man's Trash Is Another Man's Treasure: Resisting Adversarial Examples by Adversarial Examples || Attack to Explain Deep Representation || Understanding Adversarial Examples From the Mutual Influence of Images and Perturbations || A Self-supervised Approach for Adversarial Robustness || Benchmarking Adversarial Robustness on Image Classification
CVPR,2020,11,CVPR_2020_T010,79,1466,5.39,人体与头像生成：姿态、表情与数字人合成,Human-Centric Generation,"face, person, clustering, images, feature",GroupFace: Learning Latent Groups and Constructing Group-Based Representations for Face Recognition || Learning to Cluster Faces via Confidence and Connectivity Estimation || Exploring Unlabeled Faces for Novel Attribute Discovery || Hierarchical Feature Embedding for Attribute Recognition || Relation-Aware Global Attention for Person Re-Identification
CVPR,2020,12,CVPR_2020_T011,58,1466,3.96,具身智能：机器人操作、导航与视觉语言动作,Embodied AI,"prediction, driving, future, trajectory, visual",TITAN: Future Forecast Using Action Priors || Multimodal Future Localization and Emergence Prediction for Objects in Egocentric View With a Reachability Prior || VectorNet: Encoding HD Maps and Agent Dynamics From Vectorized Representation || Predicting Semantic Map Representations From Images Using Pyramid Occupancy Networks || PnPNet: End-to-End Perception and Prediction With Tracking in the Loop
CVPR,2020,13,CVPR_2020_T012,49,1466,3.34,迁移泛化：域适应、OOD泛化与鲁棒表征,Robust / Transfer Learning,"domain, adaptation, domain adaptation, target, source",FDA: Fourier Domain Adaptation for Semantic Segmentation || Unsupervised Intra-Domain Adaptation for Semantic Segmentation Through Self-Supervision || Cross-Domain Detection via Graph-Induced Prototype Alignment || Structure Preserving Generative Cross-Domain Learning || Phase Consistent Ecological Domain Adaptation
ECCV,2020,1,ECCV_2020_T000,243,1358,17.89,三维视觉：点云、深度估计与相机姿态,3D Vision,"point, object, shape, depth, detection",Shape and Viewpoint without Keypoints || Unsupervised Learning of Category-Specific Symmetric 3D Keypoints from Point Sets || Pix2Surf: Learning Parametric 3D Surface Models of Objects from Images || Few-Shot Single-View 3-D Object Reconstruction with Compositional Priors || RTM3D: Real-time Monocular 3D Detection from Object Keypoints for Autonomous Driving
ECCV,2020,2,ECCV_2020_T001,183,1358,13.48,迁移泛化：域适应、OOD泛化与鲁棒表征,Robust / Transfer Learning,"domain, adaptation, training, domain adaptation, classes",A Broader Study of Cross-Domain Few-Shot Learning || Learning from Extrinsic and Intrinsic Supervisions for Domain Generalization || Rethinking Few-shot Image Classification: A Good Embedding is All You Need? || Semi-supervised Learning with a Teacher-student Network for Generalized Attribute Prediction || Extending and Analyzing Self-Supervised Learning Across Domains
ECCV,2020,3,ECCV_2020_T002,159,1358,11.71,视频理解：动作识别、长视频与时序建模,Video Understanding,"video, action, videos, temporal, recognition",Learning to Localize Actions from Moments || Action Localization through Continual Predictive Learning || Learning Video Representations by Transforming Time || Large Scale Holistic Video Understanding || Multi-view Action Recognition using Cross-view Video Prediction
ECCV,2020,4,ECCV_2020_T003,151,1358,11.12,视频理解：动作识别、长视频与时序建模,Video Understanding,"image, images, video, deep, flow",Zero-Shot Image Super-Resolution with Depth Guided Internal Degradation Learning || Real-World Blur Dataset for Learning and Benchmarking Deblurring Algorithms || Stacking Networks Dynamically for Image Restoration Based on the Plug-and-Play Framework || Single-Shot Neural Relighting and SVBRDF Estimation || NAS-DIP: Learning Deep Image Prior with Neural Architecture Search
ECCV,2020,5,ECCV_2020_T004,137,1358,10.09,视觉感知：语义/实例/全景分割,Computer Vision,"segmentation, object, detection, semantic, instance","Toward Unsupervised, Multi-Object Discovery in Large-Scale Image Collections || Naive-Student: Leveraging Semi-Supervised Learning in Video Sequences for Urban Scene Segmentation || Object Detection with a Unified Label Space from Multiple Datasets || Regularized Loss for Weakly Supervised Single Class Semantic Segmentation || UFO²: A Unified Framework towards Omni-supervised Object Detection"
ECCV,2020,6,ECCV_2020_T005,116,1358,8.54,人体与头像生成：姿态、表情与数字人合成,Human-Centric Generation,"image, images, generation, face, facial",Aligning and Projecting Images to Class-conditional Generative Networks || TSIT: A Simple and Versatile Framework for Image-to-Image Translation || CONFIG: Controllable Neural Face Image Generation || Domain-Specific Mappings for Generative Adversarial Style Transfer || Neural Hair Rendering
ECCV,2020,7,ECCV_2020_T006,84,1358,6.19,多媒体安全：Deepfake检测、伪造识别与攻防,Security / Vision,"adversarial, attacks, face, attack, tracking",Design and Interpretation of Universal Adversarial Patches in Face Detection || Making an Invisibility Cloak: Real World Adversarial Attacks on Object Detectors || APRICOT: A Dataset of Physical Adversarial Attacks on Object Detection || Efficient Adversarial Attacks for Visual Object Tracking || Adversarial Training with Bi-directional Likelihood Regularization for Visual Classification
ECCV,2020,8,ECCV_2020_T007,76,1358,5.6,自动机器学习：神经架构搜索与超参数优化,AutoML,"search, architecture, quantization, pruning, architecture search",BATS: Binary ArchitecTure Search || DA-NAS: Data Adapted Pruning for Efficient Neural Architecture Search || ReActNet: Towards Precise Binary Neural Network with Generalized Activation Functions || BigNAS: Scaling Up Neural Architecture Search with Big Single-Stage Models || Single Path One-Shot Neural Architecture Search with Uniform Sampling
ECCV,2020,9,ECCV_2020_T008,73,1358,5.38,多模态大模型：视觉语言理解与跨模态推理,Multimodal LLM,"visual, graph, image, text, scene",Comprehensive Image Captioning via Scene Graph Decomposition || Behind the Scene: Revealing the Secrets of Pre-trained Vision-and-Language Models || Consensus-Aware Visual-Semantic Embedding for Image-Text Matching || Oscar: Object-Semantics Aligned Pre-training for Vision-Language Tasks || TextCaps: a Dataset for Image Captioning with Reading Comprehension
